Topic id = 0	b'iraq sadr supporters storm baghdad green zone supporters shia cleric muqtada al sadr enter fortified'
Topic id = 0	b'dtn iraq kurds shi ites agree withdraw forces north iraq town clashes clashes tuz khu'
Topic id = 0	b'iraq sadr supporters storm baghdad green zone supporters shia cleric muqtada al sadr enter'
Topic id = 0	b'iraq sadr supporters storm baghdad green zone supporters shia cleric muqtada al sadr en'
Topic id = 0	b'security forces baghdad fired tear gas anti government protesters stormed iraq parliament building'
Topic id = 0	b'iraq protesters camp outside parliament iraqi protesters remain camped baghdad high security green'
Topic id = 0	b'latest iraqis announce disbanding green zone protest baghdad ap latest iraq political c'
Topic id = 0	b'iraq declares state emergency baghdad closes roads leading capital following ransacking parliament'
Topic id = 0	b'iraq state emergency protesters camp outside parliament hundreds supporters powerful shia musl'
Topic id = 0	b'breached iraq falling apart weekend militia supporting shia cleric muqtada al sadr'
Topic id = 1	b'mus ghetto called mini pakistan pak enemy nation indian muslims r mischieviously bracketd enemies'
Topic id = 1	b'one hand ashraf ghani wants pakistan act taliban hand wants peace talks taliban'
Topic id = 1	b'muslims n pseudo seculars concerned abt called jaat paat inequalities opportunist divide'
Topic id = 1	b'malegaon blast case govt punish erring officials wrongful framing muslims says asaduddin'
Topic id = 1	b'afghan president calls pakistan battle taliban kabul afghanistan president monday called pakis'
Topic id = 1	b'islam paksarfrazbugti trying intimidate pakistan ashraf ghani realize much karzai gain'
Topic id = 1	b'muslim minister tmc n khangress hv soft corner pakistan wd like c india paof pakistan traitor'
Topic id = 1	b'tmc minister calls west bengal poarea mini pakistan bjp says'
Topic id = 1	b'k wanted deceive nation anti pakistan media group failed shame'
Topic id = 1	b'afghanistan president called pakistan battle taliban rather try bring afghan'
Topic id = 2	b'pakistan great nation never forget pakistani nation corrupt leaders corrupt zahid ali bhutta'
Topic id = 2	b'yes ready qaid e pakistan qaid e awam bilawal bhutto ppp bwo gb'
Topic id = 2	b'jobs pakistan jobs pakistan php developer jobs faisalabad lahore multan pakistan apply apply'
Topic id = 2	b'isf prove backbone pti imran khan movement corrupt pm nawaz shareef struggle naya'
Topic id = 2	b'jobs pakistan jobs pakistan business development officer jobs karachi pakistan apply apply'
Topic id = 2	b'jobs pakistan jobs pakistan internee web developer jobs lahore pakistan apply apply'
Topic id = 2	b'phew pti leadership finally ready put nail status quo pakistan demand change'
Topic id = 2	b'insafpktv haleem adil sheikh vdo msg foundation day pakistan tehreek e insaf'
Topic id = 2	b'marketing officer job map karachi management association pakistan position vacant marketing officer'
Topic id = 2	b'karachi management association pakistan map jobs marketing officer position vacant marketing officer'
Topic id = 3	b'pro isis hackers release kill list united states officials group pro isis hackers calling thems'
Topic id = 3	b'bangladeshi professor rezaul karim siddiquee hacked death isis claim responsibility daily news analysis'
Topic id = 3	b'securityaffairs site cyber pro isis united cyber caliphate claimed hacking u state dept'
Topic id = 3	b'cnet us drops cyberbombs isis first time cnet us targeting isis cyber attacks'
Topic id = 3	b'lady gaga pro isis hackers release names personal info targeted state dept employees'
Topic id = 3	b'cary moscow requests un add isis linked groups official terror list legitimize attacks'
Topic id = 3	b'isis linked hackers post target list new yorkers along addresses despite affiliated'
